"id","scale","TextQual","rater"
"2cc30bca3f","ratingScale1",4,"one"
"2cc30bca3f","ratingScale2",3,"one"
"2cc30bca3f","ratingScale3",2,"one"
"2cc30bca3f","ratingScale4",3,"one"
"2cc30bca3f","ratingScale5",3,"one"
"2cc30bca3f","ratingScale6",2,"one"
"2cc30bca3f","ratingScale7",3,"one"
"2cc30bca3f","ratingScale8",3,"one"
"2193a67fae","ratingScale1",4,"one"
"2193a67fae","ratingScale2",3,"one"
"2193a67fae","ratingScale3",3,"one"
"2193a67fae","ratingScale4",3,"one"
"2193a67fae","ratingScale5",3,"one"
"2193a67fae","ratingScale6",3,"one"
"2193a67fae","ratingScale7",4,"one"
"2193a67fae","ratingScale8",4,"one"
"f10b1b3ae6","ratingScale1",5,"one"
"f10b1b3ae6","ratingScale2",4,"one"
"f10b1b3ae6","ratingScale3",3,"one"
"f10b1b3ae6","ratingScale4",4,"one"
"f10b1b3ae6","ratingScale5",4,"one"
"f10b1b3ae6","ratingScale6",4,"one"
"f10b1b3ae6","ratingScale7",5,"one"
"f10b1b3ae6","ratingScale8",5,"one"
"e8b86a542e","ratingScale1",4,"one"
"e8b86a542e","ratingScale2",3,"one"
"e8b86a542e","ratingScale3",2,"one"
"e8b86a542e","ratingScale4",3,"one"
"e8b86a542e","ratingScale5",3,"one"
"e8b86a542e","ratingScale6",3,"one"
"e8b86a542e","ratingScale7",3,"one"
"e8b86a542e","ratingScale8",4,"one"
"d036de361f","ratingScale1",5,"one"
"d036de361f","ratingScale2",4,"one"
"d036de361f","ratingScale3",3,"one"
"d036de361f","ratingScale4",4,"one"
"d036de361f","ratingScale5",4,"one"
"d036de361f","ratingScale6",5,"one"
"d036de361f","ratingScale7",4,"one"
"d036de361f","ratingScale8",5,"one"
"228a6a3f25","ratingScale1",5,"one"
"228a6a3f25","ratingScale2",4,"one"
"228a6a3f25","ratingScale3",4,"one"
"228a6a3f25","ratingScale4",4,"one"
"228a6a3f25","ratingScale5",4,"one"
"228a6a3f25","ratingScale6",3,"one"
"228a6a3f25","ratingScale7",4,"one"
"228a6a3f25","ratingScale8",4,"one"
"7fca9ecf75","ratingScale1",4,"one"
"7fca9ecf75","ratingScale2",4,"one"
"7fca9ecf75","ratingScale3",2,"one"
"7fca9ecf75","ratingScale4",3,"one"
"7fca9ecf75","ratingScale5",3,"one"
"7fca9ecf75","ratingScale6",2,"one"
"7fca9ecf75","ratingScale7",3,"one"
"7fca9ecf75","ratingScale8",4,"one"
"150c31d703","ratingScale1",5,"one"
"150c31d703","ratingScale2",5,"one"
"150c31d703","ratingScale3",4,"one"
"150c31d703","ratingScale4",4,"one"
"150c31d703","ratingScale5",4,"one"
"150c31d703","ratingScale6",4,"one"
"150c31d703","ratingScale7",4,"one"
"150c31d703","ratingScale8",3,"one"
"a568bf1e2f","ratingScale1",5,"one"
"a568bf1e2f","ratingScale2",5,"one"
"a568bf1e2f","ratingScale3",5,"one"
"a568bf1e2f","ratingScale4",5,"one"
"a568bf1e2f","ratingScale5",4,"one"
"a568bf1e2f","ratingScale6",4,"one"
"a568bf1e2f","ratingScale7",5,"one"
"a568bf1e2f","ratingScale8",4,"one"
"bdff457de7","ratingScale1",4,"one"
"bdff457de7","ratingScale2",3,"one"
"bdff457de7","ratingScale3",2,"one"
"bdff457de7","ratingScale4",3,"one"
"bdff457de7","ratingScale5",3,"one"
"bdff457de7","ratingScale6",1,"one"
